Underlying Key,Underlying Symbol
BSE_INDEX|BANKEX,BANKEX
BSE_INDEX|SENSEX,SENSEX
BSE_INDEX|SENSEX50,SENSEX50
MCX_FO|435697,GOLD
MCX_FO|436580,SILVER
MCX_FO|436581,SILVERM
MCX_FO|438425,GOLD
MCX_FO|439487,SILVERM
MCX_FO|439488,SILVER
MCX_FO|440938,SILVERM
MCX_FO|440939,GOLD
MCX_FO|443449,CRUDEOIL
MCX_FO|443450,CRUDEOILM
MCX_FO|444205,NATURALGAS
MCX_FO|444206,NATGASMINI
MCX_FO|445003,GOLD
MCX_FO|445004,SILVER
MCX_FO|445825,CRUDEOIL
MCX_FO|445826,CRUDEOILM
MCX_FO|446265,NATURALGAS
MCX_FO|446266,NATGASMINI
MCX_FO|446488,COPPER
MCX_FO|446494,ZINC
MCX_FO|447552,CRUDEOIL
MCX_FO|447553,CRUDEOILM
MCX_FO|447849,NATURALGAS
MCX_FO|447850,NATGASMINI
MCX_FO|448155,COPPER
MCX_FO|448161,ZINC
MCX_FO|449534,GOLD
MCX_FO|450647,COPPER
MCX_FO|450652,ZINC
MCX_FO|450845,GOLDM
MCX_FO|451666,SILVER
MCX_FO|451669,SILVERM
MCX_FO|452845,COPPER
MCX_FO|452852,ZINC
MCX_FO|453231,GOLDM
MCX_FO|454818,GOLD
NSE_COM|121609,CRUDEOIL
NSE_COM|121641,NATURALGAS
NSE_COM|121744,NATURALGAS
NSE_COM|121776,GOLD
NSE_COM|121829,CRUDEOIL
NSE_COM|121840,SILVERM
NSE_COM|121894,SILVERM
NSE_COM|121911,NATURALGAS
NSE_COM|122007,COPPER
NSE_COM|122011,ZINC
NSE_COM|122090,SILVERM
NSE_COM|122150,SILVERM
NSE_COM|122168,COPPER
NSE_COM|122181,ZINC
NSE_COM|122393,COPPER
NSE_COM|122477,ZINC
NSE_COM|122514,SILVERM
NSE_COM|122833,COPPER
NSE_COM|122862,GOLD
NSE_COM|122978,ZINC
NSE_COM|123006,GOLDM
NSE_COM|123076,GOLD
NSE_COM|123594,GOLD
NSE_COM|124961,CRUDEOIL
NSE_COM|125045,GOLD
NSE_COM|125047,GOLDM
NSE_COM|125230,GOLD
NSE_COM|3,SILVER
NSE_EQ|INE002A01018,RELIANCE
NSE_EQ|INE002L01015,SJVN
NSE_EQ|INE002S01010,MGL
NSE_EQ|INE003A01024,SIEMENS
NSE_EQ|INE006I01046,ASTRAL
NSE_EQ|INE009A01021,INFY
NSE_EQ|INE00R701025,DALBHARAT
NSE_EQ|INE010B01027,ZYDUSLIFE
NSE_EQ|INE012A01025,ACC
NSE_EQ|INE016A01026,DABUR
NSE_EQ|INE018A01030,LT
NSE_EQ|INE018E01016,SBICARD
NSE_EQ|INE019A01038,JSWSTEEL
NSE_EQ|INE020B01018,RECLTD
NSE_EQ|INE021A01026,ASIANPAINT
NSE_EQ|INE022Q01020,IEX
NSE_EQ|INE027H01010,MAXHEALTH
NSE_EQ|INE028A01039,BANKBARODA
NSE_EQ|INE029A01011,BPCL
NSE_EQ|INE030A01027,HINDUNILVR
NSE_EQ|INE031A01017,HUDCO
NSE_EQ|INE038A01020,HINDALCO
NSE_EQ|INE040A01034,HDFCBANK
NSE_EQ|INE042A01014,ESCORTS
NSE_EQ|INE044A01036,SUNPHARMA
NSE_EQ|INE047A01021,GRASIM
NSE_EQ|INE04I401011,KPITTECH
NSE_EQ|INE053A01029,INDHOTEL
NSE_EQ|INE053F01010,IRFC
NSE_EQ|INE059A01026,CIPLA
NSE_EQ|INE062A01020,SBIN
NSE_EQ|INE066A01021,EICHERMOT
NSE_EQ|INE066F01020,HAL
NSE_EQ|INE066P01011,INOXWIND
NSE_EQ|INE067A01029,CGPOWER
NSE_EQ|INE070A01015,SHREECEM
NSE_EQ|INE073K01018,SONACOMS
NSE_EQ|INE075A01022,WIPRO
NSE_EQ|INE079A01024,AMBUJACEM
NSE_EQ|INE081A01020,TATASTEEL
NSE_EQ|INE084A01016,BANKINDIA
NSE_EQ|INE085A01013,CHAMBLFERT
NSE_EQ|INE089A01031,DRREDDY
NSE_EQ|INE090A01021,ICICIBANK
NSE_EQ|INE092A01019,TATACHEM
NSE_EQ|INE092T01019,IDFCFIRSTB
NSE_EQ|INE093I01010,OBEROIRLTY
NSE_EQ|INE094A01015,HINDPETRO
NSE_EQ|INE095A01012,INDUSINDBK
NSE_EQ|INE095N01031,NBCC
NSE_EQ|INE0J1Y01017,LICI
NSE_EQ|INE101A01026,M&M
NSE_EQ|INE101D01020,GRANULES
NSE_EQ|INE102D01028,GODREJCP
NSE_EQ|INE111A01025,CONCOR
NSE_EQ|INE114A01011,SAIL
NSE_EQ|INE115A01026,LICHSGFIN
NSE_EQ|INE117A01022,ABB
NSE_EQ|INE118H01025,BSE
NSE_EQ|INE121A01024,CHOLAFIN
NSE_EQ|INE121E01018,JSWENERGY
NSE_EQ|INE121J01017,INDUSTOWER
NSE_EQ|INE123W01016,SBILIFE
NSE_EQ|INE127D01025,HDFCAMC
NSE_EQ|INE129A01019,GAIL
NSE_EQ|INE134E01011,PFC
NSE_EQ|INE136B01020,CYIENT
NSE_EQ|INE139A01034,NATIONALUM
NSE_EQ|INE140A01024,PEL
NSE_EQ|INE142M01025,TATATECH
NSE_EQ|INE148O01028,DELHIVERY
NSE_EQ|INE151A01013,TATACOMM
NSE_EQ|INE154A01025,ITC
NSE_EQ|INE155A01022,TATAMOTORS
NSE_EQ|INE158A01026,HEROMOTOCO
NSE_EQ|INE160A01022,PNB
NSE_EQ|INE171A01029,FEDERALBNK
NSE_EQ|INE176B01034,HAVELLS
NSE_EQ|INE180A01020,MFSL
NSE_EQ|INE192A01025,TATACONSUM
NSE_EQ|INE192R01011,DMART
NSE_EQ|INE195A01028,SUPREMEIND
NSE_EQ|INE196A01026,MARICO
NSE_EQ|INE200M01039,VBL
NSE_EQ|INE202E01016,IREDA
NSE_EQ|INE203G01027,IGL
NSE_EQ|INE205A01025,VEDL
NSE_EQ|INE208A01029,ASHOKLEY
NSE_EQ|INE211B01039,PHOENIXLTD
NSE_EQ|INE213A01029,ONGC
NSE_EQ|INE214T01019,LTIM
NSE_EQ|INE216A01030,BRITANNIA
NSE_EQ|INE220G01021,JSL
NSE_EQ|INE226A01021,VOLTAS
NSE_EQ|INE237A01028,KOTAKBANK
NSE_EQ|INE238A01034,AXISBANK
NSE_EQ|INE239A01024,NESTLEIND
NSE_EQ|INE242A01010,IOC
NSE_EQ|INE245A01021,TATAPOWER
NSE_EQ|INE257A01026,BHEL
NSE_EQ|INE259A01022,COLPAL
NSE_EQ|INE262H01021,PERSISTENT
NSE_EQ|INE263A01024,BEL
NSE_EQ|INE267A01025,HINDZINC
NSE_EQ|INE271C01023,DLF
NSE_EQ|INE274J01014,OIL
NSE_EQ|INE280A01028,TITAN
NSE_EQ|INE288B01029,DEEPAKNTR
NSE_EQ|INE296A01024,BAJFINANCE
NSE_EQ|INE298A01020,CUMMINSIND
NSE_EQ|INE299U01018,CROMPTON
NSE_EQ|INE302A01020,EXIDEIND
NSE_EQ|INE303R01014,KALYANKJIL
NSE_EQ|INE318A01026,PIDILITIND
NSE_EQ|INE323A01026,BOSCHLTD
NSE_EQ|INE326A01037,LUPIN
NSE_EQ|INE331A01037,RAMCOCEM
NSE_EQ|INE335Y01020,IRCTC
NSE_EQ|INE343H01029,SOLARINDS
NSE_EQ|INE347G01014,PETRONET
NSE_EQ|INE356A01018,MPHASIS
NSE_EQ|INE361B01024,DIVISLAB
NSE_EQ|INE364U01010,ADANIGREEN
NSE_EQ|INE376G01013,BIOCON
NSE_EQ|INE388Y01029,NYKAA
NSE_EQ|INE397D01024,BHARTIARTL
NSE_EQ|INE398R01022,SYNGENE
NSE_EQ|INE399L01023,ATGL
NSE_EQ|INE406A01037,AUROPHARMA
NSE_EQ|INE414G01012,MUTHOOTFIN
NSE_EQ|INE417T01026,POLICYBZR
NSE_EQ|INE423A01024,ADANIENT
NSE_EQ|INE437A01024,APOLLOHOSP
NSE_EQ|INE438A01022,APOLLOTYRE
NSE_EQ|INE455K01017,POLYCAB
NSE_EQ|INE465A01025,BHARATFORG
NSE_EQ|INE467B01029,TCS
NSE_EQ|INE476A01022,CANBK
NSE_EQ|INE481G01011,ULTRACEMCO
NSE_EQ|INE484J01027,GODREJPROP
NSE_EQ|INE486A01021,CESC
NSE_EQ|INE494B01023,TVSMOTOR
NSE_EQ|INE498L01015,LTF
NSE_EQ|INE511C01022,POONAWALLA
NSE_EQ|INE522D01027,MANAPPURAM
NSE_EQ|INE522F01014,COALINDIA
NSE_EQ|INE528G01035,YESBANK
NSE_EQ|INE530B01024,IIFL
NSE_EQ|INE531E01026,HINDCOPPER
NSE_EQ|INE540L01014,ALKEM
NSE_EQ|INE545U01014,BANDHANBNK
NSE_EQ|INE548A01028,HFCL
NSE_EQ|INE562A01011,INDIANB
NSE_EQ|INE572E01012,PNBHOUSING
NSE_EQ|INE584A01023,NMDC
NSE_EQ|INE585B01010,MARUTI
NSE_EQ|INE591G01017,COFORGE
NSE_EQ|INE596I01012,CAMS
NSE_EQ|INE603J01030,PIIND
NSE_EQ|INE615H01020,TITAGARH
NSE_EQ|INE619A01035,PATANJALI
NSE_EQ|INE628A01036,UPL
NSE_EQ|INE646L01027,INDIGO
NSE_EQ|INE647A01010,SRF
NSE_EQ|INE647O01011,ABFRL
NSE_EQ|INE663F01024,NAUKRI
NSE_EQ|INE669C01036,TECHM
NSE_EQ|INE669E01016,IDEA
NSE_EQ|INE670A01012,TATAELXSI
NSE_EQ|INE670K01029,LODHA
NSE_EQ|INE674K01013,ABCAPITAL
NSE_EQ|INE685A01028,TORNTPHARM
NSE_EQ|INE692A01016,UNIONBANK
NSE_EQ|INE702C01027,APLAPOLLO
NSE_EQ|INE721A01047,SHRIRAMFIN
NSE_EQ|INE726G01019,ICICIPRULI
NSE_EQ|INE732I01013,ANGELONE
NSE_EQ|INE733E01010,NTPC
NSE_EQ|INE736A01011,CDSL
NSE_EQ|INE742F01042,ADANIPORTS
NSE_EQ|INE745G01035,MCX
NSE_EQ|INE749A01030,JINDALSTEL
NSE_EQ|INE752E01010,POWERGRID
NSE_EQ|INE758E01017,JIOFIN
NSE_EQ|INE758T01015,ETERNAL
NSE_EQ|INE761H01022,PAGEIND
NSE_EQ|INE765G01017,ICICIGI
NSE_EQ|INE769A01020,AARTIIND
NSE_EQ|INE774D01024,M&MFIN
NSE_EQ|INE775A01035,MOTHERSON
NSE_EQ|INE776C01039,GMRAIRPORT
NSE_EQ|INE787D01026,BALKRISIND
NSE_EQ|INE795G01014,HDFCLIFE
NSE_EQ|INE797F01020,JUBLFOOD
NSE_EQ|INE811K01011,PRESTIGE
NSE_EQ|INE813H01021,TORNTPOWER
NSE_EQ|INE821I01022,IRB
NSE_EQ|INE836A01035,BSOFT
NSE_EQ|INE848E01016,NHPC
NSE_EQ|INE849A01020,TRENT
NSE_EQ|INE854D01024,UNITDSPR
NSE_EQ|INE860A01027,HCLTECH
NSE_EQ|INE868B01028,NCC
NSE_EQ|INE878B01027,KEI
NSE_EQ|INE881D01027,OFSS
NSE_EQ|INE883A01011,MRF
NSE_EQ|INE917I01010,BAJAJ-AUTO
NSE_EQ|INE918I01026,BAJAJFINSV
NSE_EQ|INE931S01010,ADANIENSOL
NSE_EQ|INE935A01035,GLENMARK
NSE_EQ|INE935N01020,DIXON
NSE_EQ|INE947Q01028,LAURUSLABS
NSE_EQ|INE949L01017,AUBANK
NSE_EQ|INE974X01010,TIINDIA
NSE_EQ|INE976G01028,RBLBANK
NSE_EQ|INE982J01020,PAYTM
NSE_INDEX|NIFTY MID SELECT,MIDCPNIFTY
NSE_INDEX|Nifty 50,NIFTY
NSE_INDEX|Nifty Bank,BANKNIFTY
NSE_INDEX|Nifty Fin Service,FINNIFTY
NSE_INDEX|Nifty Next 50,NIFTYNXT50
