underlying_symbol,underlying_key,underlying_type
SENSEX,BSE_INDEX|SENSEX,INDEX
BANKEX,BSE_INDEX|BANKEX,INDEX
SENSEX50,BSE_INDEX|SENSEX50,INDEX
CRUDEOILM,MCX_FO|441306,COM
LTF,NSE_EQ|INE498L01015,EQUITY
HINDZINC,NSE_EQ|INE267A01025,EQUITY
PIDILITIND,NSE_EQ|INE318A01026,EQUITY
VBL,NSE_EQ|INE200M01039,EQUITY
NIFTY,NSE_INDEX|Nifty 50,INDEX
BHARTIARTL,NSE_EQ|INE397D01024,EQUITY
BHARATFORG,NSE_EQ|INE465A01025,EQUITY
SUNPHARMA,NSE_EQ|INE044A01036,EQUITY
CIPLA,NSE_EQ|INE059A01026,EQUITY
PNB,NSE_EQ|INE160A01022,EQUITY
PRESTIGE,NSE_EQ|INE811K01011,EQUITY
JSWSTEEL,NSE_EQ|INE019A01038,EQUITY
GRANULES,NSE_EQ|INE101D01020,EQUITY
CGPOWER,NSE_EQ|INE067A01029,EQUITY
MIDCPNIFTY,NSE_INDEX|NIFTY MID SELECT,INDEX
SRF,NSE_EQ|INE647A01010,EQUITY
BANKNIFTY,NSE_INDEX|Nifty Bank,INDEX
YESBANK,NSE_EQ|INE528G01035,EQUITY
CRUDEOIL,MCX_FO|441305,COM
GOLD,MCX_FO|435697,COM
NATURALGAS,MCX_FO|441833,COM
NATGASMINI,MCX_FO|441834,COM
LTIM,NSE_EQ|INE214T01019,EQUITY
OBEROIRLTY,NSE_EQ|INE093I01010,EQUITY
POLICYBZR,NSE_EQ|INE417T01026,EQUITY
RAMCOCEM,NSE_EQ|INE331A01037,EQUITY
JSL,NSE_EQ|INE220G01021,EQUITY
BSE,NSE_EQ|INE118H01025,EQUITY
ZOMATO,NSE_EQ|INE758T01015,EQUITY
DABUR,NSE_EQ|INE016A01026,EQUITY
CESC,NSE_EQ|INE486A01021,EQUITY
HINDUNILVR,NSE_EQ|INE030A01027,EQUITY
VEDL,NSE_EQ|INE205A01025,EQUITY
ICICIPRULI,NSE_EQ|INE726G01019,EQUITY
ABFRL,NSE_EQ|INE647O01011,EQUITY
GOLD,MCX_FO|440939,COM
GOLD,MCX_FO|445003,COM
LICI,NSE_EQ|INE0J1Y01017,EQUITY
CHOLAFIN,NSE_EQ|INE121A01024,EQUITY
GODREJPROP,NSE_EQ|INE484J01027,EQUITY
FINNIFTY,NSE_INDEX|Nifty Fin Service,INDEX
GOLD,MCX_FO|438425,COM
MRF,NSE_EQ|INE883A01011,EQUITY
SOLARINDS,NSE_EQ|INE343H01029,EQUITY
COPPER,MCX_FO|444531,COM
SILVER,MCX_FO|445004,COM
SILVERM,MCX_FO|440938,COM
POLYCAB,NSE_EQ|INE455K01017,EQUITY
ZYDUSLIFE,NSE_EQ|INE010B01027,EQUITY
VOLTAS,NSE_EQ|INE226A01021,EQUITY
AARTIIND,NSE_EQ|INE769A01020,EQUITY
SUPREMEIND,NSE_EQ|INE195A01028,EQUITY
CONCOR,NSE_EQ|INE111A01025,EQUITY
CDSL,NSE_EQ|INE736A01011,EQUITY
BEL,NSE_EQ|INE263A01024,EQUITY
MANAPPURAM,NSE_EQ|INE522D01027,EQUITY
CYIENT,NSE_EQ|INE136B01020,EQUITY
GOLD,NSE_COM|122862,COM
SILVER,MCX_FO|433350,COM
BALKRISIND,NSE_EQ|INE787D01026,EQUITY
RBLBANK,NSE_EQ|INE976G01028,EQUITY
GRASIM,NSE_EQ|INE047A01021,EQUITY
JSWENERGY,NSE_EQ|INE121E01018,EQUITY
GAIL,NSE_EQ|INE129A01019,EQUITY
DALBHARAT,NSE_EQ|INE00R701025,EQUITY
ASIANPAINT,NSE_EQ|INE021A01026,EQUITY
INDUSINDBK,NSE_EQ|INE095A01012,EQUITY
AUBANK,NSE_EQ|INE949L01017,EQUITY
BANKBARODA,NSE_EQ|INE028A01039,EQUITY
AXISBANK,NSE_EQ|INE238A01034,EQUITY
HDFCBANK,NSE_EQ|INE040A01034,EQUITY
SILVERM,MCX_FO|433351,COM
CRUDEOIL,NSE_COM|121609,COM
CRUDEOIL,NSE_COM|125320,COM
NATURALGAS,NSE_COM|121647,COM
LODHA,NSE_EQ|INE670K01029,EQUITY
GOLDM,NSE_COM|125238,COM
SILVERM,NSE_COM|121894,COM
SILVERM,NSE_COM|122090,COM
ACC,NSE_EQ|INE012A01025,EQUITY
OFSS,NSE_EQ|INE881D01027,EQUITY
INDIGO,NSE_EQ|INE646L01027,EQUITY
AUROPHARMA,NSE_EQ|INE406A01037,EQUITY
SILVERM,NSE_COM|122077,COM
GOLD,NSE_COM|125230,COM
CROMPTON,NSE_EQ|INE299U01018,EQUITY
LT,NSE_EQ|INE018A01030,EQUITY
HAVELLS,NSE_EQ|INE176B01034,EQUITY
NHPC,NSE_EQ|INE848E01016,EQUITY
BAJAJ-AUTO,NSE_EQ|INE917I01010,EQUITY
ASTRAL,NSE_EQ|INE006I01046,EQUITY
IDEA,NSE_EQ|INE669E01016,EQUITY
GOLD,NSE_COM|123076,COM
BANKINDIA,NSE_EQ|INE084A01016,EQUITY
SAIL,NSE_EQ|INE114A01011,EQUITY
BAJAJFINSV,NSE_EQ|INE918I01026,EQUITY
ATGL,NSE_EQ|INE399L01023,EQUITY
OIL,NSE_EQ|INE274J01014,EQUITY
SILVER,NSE_COM|3,COM
GOLDM,NSE_COM|123006,COM
GOLD,NSE_COM|123594,COM
SILVER,MCX_FO|436580,COM
TORNTPOWER,NSE_EQ|INE813H01021,EQUITY
COPPER,NSE_COM|122393,COM
JUBLFOOD,NSE_EQ|INE797F01020,EQUITY
NMDC,NSE_EQ|INE584A01023,EQUITY
SILVERM,MCX_FO|436581,COM
COPPER,NSE_COM|122833,COM
SILVERM,NSE_COM|122150,COM
ZINC,NSE_COM|122011,COM
SBICARD,NSE_EQ|INE018E01016,EQUITY
DEEPAKNTR,NSE_EQ|INE288B01029,EQUITY
NTPC,NSE_EQ|INE733E01010,EQUITY
NATGASMINI,MCX_FO|446266,COM
SILVERM,MCX_FO|451669,COM
NATURALGAS,MCX_FO|446265,COM
COPPER,MCX_FO|450647,COM
ZINC,MCX_FO|450652,COM
CRUDEOIL,MCX_FO|445825,COM
IDFCFIRSTB,NSE_EQ|INE092T01019,EQUITY
GOLDM,MCX_FO|448589,COM
GOLDM,MCX_FO|450845,COM
GOLD,MCX_FO|449534,COM
ONGC,NSE_EQ|INE213A01029,EQUITY
KALYANKJIL,NSE_EQ|INE303R01014,EQUITY
DLF,NSE_EQ|INE271C01023,EQUITY
BANDHANBNK,NSE_EQ|INE545U01014,EQUITY
HDFCLIFE,NSE_EQ|INE795G01014,EQUITY
HINDALCO,NSE_EQ|INE038A01020,EQUITY
BERGEPAINT,NSE_EQ|INE463A01038,EQUITY
INFY,NSE_EQ|INE009A01021,EQUITY
TRENT,NSE_EQ|INE849A01020,EQUITY
BAJFINANCE,NSE_EQ|INE296A01024,EQUITY
NYKAA,NSE_EQ|INE388Y01029,EQUITY
INDUSTOWER,NSE_EQ|INE121J01017,EQUITY
SBILIFE,NSE_EQ|INE123W01016,EQUITY
HAL,NSE_EQ|INE066F01020,EQUITY
SJVN,NSE_EQ|INE002L01015,EQUITY
TVSMOTOR,NSE_EQ|INE494B01023,EQUITY
HCLTECH,NSE_EQ|INE860A01027,EQUITY
POONAWALLA,NSE_EQ|INE511C01022,EQUITY
CANBK,NSE_EQ|INE476A01022,EQUITY
KEI,NSE_EQ|INE878B01027,EQUITY
ULTRACEMCO,NSE_EQ|INE481G01011,EQUITY
DELHIVERY,NSE_EQ|INE148O01028,EQUITY
DIXON,NSE_EQ|INE935N01020,EQUITY
PAGEIND,NSE_EQ|INE761H01022,EQUITY
ADANIPORTS,NSE_EQ|INE742F01042,EQUITY
HINDPETRO,NSE_EQ|INE094A01015,EQUITY
MUTHOOTFIN,NSE_EQ|INE414G01012,EQUITY
DMART,NSE_EQ|INE192R01011,EQUITY
NIFTYNXT50,NSE_INDEX|Nifty Next 50,INDEX
SILVERM,NSE_COM|121840,COM
GOLD,NSE_COM|121776,COM
ADANIGREEN,NSE_EQ|INE364U01010,EQUITY
ICICIBANK,NSE_EQ|INE090A01021,EQUITY
COPPER,NSE_COM|121747,COM
DIVISLAB,NSE_EQ|INE361B01024,EQUITY
UNIONBANK,NSE_EQ|INE692A01016,EQUITY
WIPRO,NSE_EQ|INE075A01022,EQUITY
CHAMBLFERT,NSE_EQ|INE085A01013,EQUITY
FEDERALBNK,NSE_EQ|INE171A01029,EQUITY
GMRAIRPORT,NSE_EQ|INE776C01039,EQUITY
HUDCO,NSE_EQ|INE031A01017,EQUITY
UNITDSPR,NSE_EQ|INE854D01024,EQUITY
INOXWIND,NSE_EQ|INE066P01011,EQUITY
TIINDIA,NSE_EQ|INE974X01010,EQUITY
NATIONALUM,NSE_EQ|INE139A01034,EQUITY
COPPER,NSE_COM|122007,COM
SBIN,NSE_EQ|INE062A01020,EQUITY
UPL,NSE_EQ|INE628A01036,EQUITY
MPHASIS,NSE_EQ|INE356A01018,EQUITY
ICICIGI,NSE_EQ|INE765G01017,EQUITY
ALKEM,NSE_EQ|INE540L01014,EQUITY
TITAN,NSE_EQ|INE280A01028,EQUITY
GLENMARK,NSE_EQ|INE935A01035,EQUITY
TATATECH,NSE_EQ|INE142M01025,EQUITY
NATURALGAS,NSE_COM|121641,COM
GODREJCP,NSE_EQ|INE102D01028,EQUITY
NAUKRI,NSE_EQ|INE663F01024,EQUITY
COLPAL,NSE_EQ|INE259A01022,EQUITY
TORNTPHARM,NSE_EQ|INE685A01028,EQUITY
ABCAPITAL,NSE_EQ|INE674K01013,EQUITY
EICHERMOT,NSE_EQ|INE066A01021,EQUITY
MARICO,NSE_EQ|INE196A01026,EQUITY
ADANIENSOL,NSE_EQ|INE931S01010,EQUITY
ASHOKLEY,NSE_EQ|INE208A01029,EQUITY
NATURALGAS,NSE_COM|121911,COM
IOC,NSE_EQ|INE242A01010,EQUITY
ABB,NSE_EQ|INE117A01022,EQUITY
DRREDDY,NSE_EQ|INE089A01031,EQUITY
ZINC,NSE_COM|121766,COM
COFORGE,NSE_EQ|INE591G01017,EQUITY
BHEL,NSE_EQ|INE257A01026,EQUITY
TCS,NSE_EQ|INE467B01029,EQUITY
ESCORTS,NSE_EQ|INE042A01014,EQUITY
MARUTI,NSE_EQ|INE585B01010,EQUITY
BSOFT,NSE_EQ|INE836A01035,EQUITY
COALINDIA,NSE_EQ|INE522F01014,EQUITY
ANGELONE,NSE_EQ|INE732I01013,EQUITY
RECLTD,NSE_EQ|INE020B01018,EQUITY
MAXHEALTH,NSE_EQ|INE027H01010,EQUITY
AMBUJACEM,NSE_EQ|INE079A01024,EQUITY
EXIDEIND,NSE_EQ|INE302A01020,EQUITY
PIIND,NSE_EQ|INE603J01030,EQUITY
SYNGENE,NSE_EQ|INE398R01022,EQUITY
ZINC,MCX_FO|446494,COM
ZINC,MCX_FO|448161,COM
SILVER,MCX_FO|451666,COM
CRUDEOIL,MCX_FO|443449,COM
LUPIN,NSE_EQ|INE326A01037,EQUITY
KOTAKBANK,NSE_EQ|INE237A01028,EQUITY
TECHM,NSE_EQ|INE669C01036,EQUITY
CRUDEOILM,MCX_FO|445826,COM
BOSCHLTD,NSE_EQ|INE323A01026,EQUITY
TATACHEM,NSE_EQ|INE092A01019,EQUITY
ZINC,MCX_FO|444535,COM
BIOCON,NSE_EQ|INE376G01013,EQUITY
RELIANCE,NSE_EQ|INE002A01018,EQUITY
M&M,NSE_EQ|INE101A01026,EQUITY
CUMMINSIND,NSE_EQ|INE298A01020,EQUITY
TATAPOWER,NSE_EQ|INE245A01021,EQUITY
PERSISTENT,NSE_EQ|INE262H01021,EQUITY
HFCL,NSE_EQ|INE548A01028,EQUITY
PFC,NSE_EQ|INE134E01011,EQUITY
ADANIENT,NSE_EQ|INE423A01024,EQUITY
MCX,NSE_EQ|INE745G01035,EQUITY
TATACOMM,NSE_EQ|INE151A01013,EQUITY
PHOENIXLTD,NSE_EQ|INE211B01039,EQUITY
PETRONET,NSE_EQ|INE347G01014,EQUITY
JINDALSTEL,NSE_EQ|INE749A01030,EQUITY
HEROMOTOCO,NSE_EQ|INE158A01026,EQUITY
KPITTECH,NSE_EQ|INE04I401011,EQUITY
TATASTEEL,NSE_EQ|INE081A01020,EQUITY
JIOFIN,NSE_EQ|INE758E01017,EQUITY
SILVERM,MCX_FO|439487,COM
SONACOMS,NSE_EQ|INE073K01018,EQUITY
BPCL,NSE_EQ|INE029A01011,EQUITY
COPPER,MCX_FO|446488,COM
IRCTC,NSE_EQ|INE335Y01020,EQUITY
ZINC,NSE_COM|122978,COM
IRB,NSE_EQ|INE821I01022,EQUITY
IRFC,NSE_EQ|INE053F01010,EQUITY
LAURUSLABS,NSE_EQ|INE947Q01028,EQUITY
ZINC,NSE_COM|122477,COM
LICHSGFIN,NSE_EQ|INE115A01026,EQUITY
NBCC,NSE_EQ|INE095N01031,EQUITY
BRITANNIA,NSE_EQ|INE216A01030,EQUITY
NCC,NSE_EQ|INE868B01028,EQUITY
APOLLOHOSP,NSE_EQ|INE437A01024,EQUITY
MGL,NSE_EQ|INE002S01010,EQUITY
SILVER,MCX_FO|439488,COM
TITAGARH,NSE_EQ|INE615H01020,EQUITY
MFSL,NSE_EQ|INE180A01020,EQUITY
NESTLEIND,NSE_EQ|INE239A01024,EQUITY
APLAPOLLO,NSE_EQ|INE702C01027,EQUITY
INDHOTEL,NSE_EQ|INE053A01029,EQUITY
SHRIRAMFIN,NSE_EQ|INE721A01047,EQUITY
MOTHERSON,NSE_EQ|INE775A01035,EQUITY
IEX,NSE_EQ|INE022Q01020,EQUITY
CRUDEOIL,NSE_COM|121829,COM
INDIANB,NSE_EQ|INE562A01011,EQUITY
APOLLOTYRE,NSE_EQ|INE438A01022,EQUITY
CRUDEOILM,MCX_FO|443450,COM
TATACONSUM,NSE_EQ|INE192A01025,EQUITY
TATAELXSI,NSE_EQ|INE670A01012,EQUITY
SIEMENS,NSE_EQ|INE003A01024,EQUITY
TATAMOTORS,NSE_EQ|INE155A01022,EQUITY
PNBHOUSING,NSE_EQ|INE572E01012,EQUITY
HINDCOPPER,NSE_EQ|INE531E01026,EQUITY
M&MFIN,NSE_EQ|INE774D01024,EQUITY
POWERGRID,NSE_EQ|INE752E01010,EQUITY
PATANJALI,NSE_EQ|INE619A01035,EQUITY
PAYTM,NSE_EQ|INE982J01020,EQUITY
IREDA,NSE_EQ|INE202E01016,EQUITY
HDFCAMC,NSE_EQ|INE127D01025,EQUITY
PEL,NSE_EQ|INE140A01024,EQUITY
CAMS,NSE_EQ|INE596I01012,EQUITY
NATGASMINI,MCX_FO|444206,COM
NATURALGAS,MCX_FO|444205,COM
ITC,NSE_EQ|INE154A01025,EQUITY
IGL,NSE_EQ|INE203G01027,EQUITY
COPPER,MCX_FO|448155,COM
IIFL,NSE_EQ|INE530B01024,EQUITY
SHREECEM,NSE_EQ|INE070A01015,EQUITY
